,,,,,,,,,,x,x,,,,,,,,,,,
DATE,STATION,,GUN NO.,Voltage_actual,Voltage_Prog,Current_actual,Current_prog,Weld_time_actual,Weld_time_Prog,Heat Generated Actual,Heat Generated Prog,Energy_actual,,Energy_Prog,Heat_actual,Heat_prog,Resistance_actual,Resistance_prog,Phase_actual,Phase_prog,Derived heat,Derived Energy
22.12.2022,ECA-40,RH02,D1-MG-885,1.94,3,8.06,9,800,1000,12509.12,27000,12957.64,3%,10000,15636.01,10000,236,300,36.95,100,19489.08,15636.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.93,3,8.2,9,800,1000,12660.8,27000,13084.44,3%,10000,15821.56,10000,228,300,36.49,100,20172,15826
22.12.2022,ECA-40,RH02,D1-MG-885,1.91,3,8.08,9,800,1000,12346.24,27000,12818.98,4%,10000,15440.06,10000,234,300,36.57,100,19585.92,15432.8
22.12.2022,ECA-40,RH02,D1-MG-885,2.03,3,8.08,9,858,1000,14073.2592,27000,14536.87,3%,10000,16395.29,10000,260,300,38.21,100,19585.92,16402.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.83,3,8.56,9,560,1000,8772.288,27000,8859.091,1%,10000,15657.48,10000,198,300,36.25,100,21982.08,15664.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.54,3,8.79,9,720,1000,9746.352,27000,9831.682,1%,10000,13530.44,10000,169,300,33.44,100,23179.23,13536.6
22.12.2022,ECA-40,RH02,D1-MG-885,1.85,3,8.76,9,560,1000,9075.36,27000,9205.47,1%,10000,16211.18,10000,196,300,36.57,100,23021.28,16206
22.12.2022,ECA-40,RH02,D1-MG-885,2.12,3,8.06,9,800,1000,13669.76,27000,14128.42,3%,10000,17076.6,10000,254,300,38.84,100,19489.08,17087.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.94,3,8.04,9,800,1000,12478.08,27000,12907.06,3%,10000,15607.11,10000,233,300,36.9,100,19392.48,15597.6
22.12.2022,ECA-40,RH02,D1-MG-885,1.94,3,8.06,9,800,1000,12509.12,27000,12889.92,3%,10000,15628.45,10000,232,300,36.95,100,19489.08,15636.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.94,3,8.04,9,800,1000,12478.08,27000,12892.92,3%,10000,15598.18,10000,233,300,36.48,100,19392.48,15597.6
22.12.2022,ECA-40,RH02,D1-MG-885,1.77,3,8.1,9,800,1000,11469.6,27000,11860.49,3%,10000,14333.28,10000,222,300,35,100,19683,14337
22.12.2022,ECA-40,RH02,D1-MG-885,1.83,3,8.55,9,800,1000,12517.2,27000,12878.25,3%,10000,15646.32,10000,220,300,36.37,100,21930.75,15646.5
22.12.2022,ECA-40,RH02,D1-MG-885,1.84,3,8.03,9,800,1000,11820.16,27000,12210.14,3%,10000,14776.3,10000,217,300,35.32,100,19344.27,14775.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.94,3,8.07,9,800,1000,12524.64,27000,13004.81,4%,10000,15664.72,10000,241,300,36.97,100,19537.47,15655.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.74,3,9.21,9,560,1000,8974.224,27000,9044.452,1%,10000,16019.31,10000,172,300,36.27,100,25447.23,16025.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.49,3,8.95,9,731,1000,9748.2505,27000,9822.044,1%,10000,13331.92,10000,160,300,32.81,100,24030.75,13335.5
22.12.2022,ECA-40,RH02,D1-MG-885,1.76,3,8.65,9,643,1000,9789.032,27000,9871.455,1%,10000,15229.98,10000,193,300,35.54,100,22446.75,15224
