,,,,,,,,,,x,x,,,,,,,,,,,
DATE,STATION,,GUN NO.,Voltage_actual,Voltage_Prog,Current_actual,Current_prog,Weld_time_actual,Weld_time_Prog,Heat Generated Actual,Heat Generated Prog,Energy_actual,,Energy_Prog,Heat_actual,Heat_prog,Resistance_actual,Resistance_prog,Phase_actual,Phase_prog,Derived heat,Derived Energy
22.12.2022,ECA-40,RH02,D1-MG-885,1.66,3,8.65,9,675,1000,9692.325,27000,9781.497,1%,10000,14359.83,10000,183,300,34.72,100,22446.75,14359
22.12.2022,ECA-40,RH02,D1-MG-885,1.99,3,8.04,9,800,1000,12799.68,27000,13218.12,3%,10000,16000.79,10000,237,300,37.53,100,19392.48,15999.6
22.12.2022,ECA-40,RH02,D1-MG-885,1.88,3,8.05,9,800,1000,12107.2,27000,12515.21,3%,10000,15126.86,10000,235,300,36.32,100,19440.75,15134
22.12.2022,ECA-40,RH02,D1-MG-885,1.85,3,8.07,9,800,1000,11943.6,27000,12343.68,3%,10000,14920.62,10000,233,300,35.81,100,19537.47,14929.5
22.12.2022,ECA-40,RH02,D1-MG-885,1.96,3,8.22,9,641,1000,10327.2792,27000,10421.21,1%,10000,16114.53,10000,223,300,37.51,100,20270.52,16111.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.88,3,8.04,9,800,1000,12092.16,27000,12510.3,3%,10000,15116.14,10000,222,300,36.3,100,19392.48,15115.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.87,3,8.04,9,800,1000,12027.84,27000,12437.75,3%,10000,15029,10000,222,300,36.34,100,19392.48,15034.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.87,3,8.07,9,800,1000,12072.72,27000,12512.44,4%,10000,15083.05,10000,227,300,36.53,100,19537.47,15090.9
22.12.2022,ECA-40,RH02,D1-MG-885,2.08,3,8.26,9,800,1000,13744.64,27000,14173.38,3%,10000,17175.6,10000,249,300,38.95,100,20468.28,17180.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.78,3,8.73,9,632,1000,9820.9008,27000,9909.713,1%,10000,15540.47,10000,193,300,36.42,100,22863.87,15539.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.5,3,8.83,9,733,1000,9708.585,27000,9788.59,1%,10000,13251,10000,166,300,33.13,100,23390.67,13245
22.12.2022,ECA-40,RH02,D1-MG-885,1.68,3,8.72,9,665,1000,9741.984,27000,9788.867,0%,10000,14641.37,10000,183,300,34.68,100,22811.52,14649.6
22.12.2022,ECA-40,RH02,D1-MG-885,2.06,3,8.07,9,800,1000,13299.36,27000,13725.9,3%,10000,16623.79,10000,245,300,38.61,100,19537.47,16624.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.86,3,8.01,9,800,1000,11918.88,27000,12340.89,3%,10000,14906.23,10000,222,300,36.12,100,19248.03,14898.6
22.12.2022,ECA-40,RH02,D1-MG-885,1.88,3,8.03,9,800,1000,12077.12,27000,12501.84,3%,10000,15097.15,10000,225,300,36.37,100,19344.27,15096.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.89,3,8.05,9,800,1000,12171.6,27000,12562.93,3%,10000,15217.52,10000,225,300,36.53,100,19440.75,15214.5
22.12.2022,ECA-40,RH02,D1-MG-885,1.93,3,8.1,9,800,1000,12506.4,27000,12929.43,3%,10000,15627.79,10000,234,300,37.14,100,19683,15633
22.12.2022,ECA-40,RH02,D1-MG-885,1.97,3,8.39,9,652,1000,10776.4516,27000,10919,1%,10000,16535.98,10000,224,300,38,100,21117.63,16528.3
22.12.2022,ECA-40,RH02,D1-MG-885,1.98,3,8.47,9,641,1000,10749.9546,27000,10854.07,1%,10000,16770.2,10000,221,300,38.48,100,21522.27,16770.6
22.12.2022,ECA-40,RH02,D1-MG-885,2.03,3,8.09,9,800,1000,13138.16,27000,13583.15,3%,10000,16432.44,10000,255,300,38.22,100,19634.43,16422.7
22.12.2022,ECA-40,RH02,D1-MG-885,1.71,3,8.71,9,655,1000,9755.6355,27000,9823.351,1%,10000,14895.3,10000,186,300,35.5,100,22759.23,14894.1
22.12.2022,ECA-40,RH02,D1-MG-885,1.5,3,8.75,9,740,1000,9712.5,27000,9801.973,1%,10000,13127.1,10000,166,300,33.16,100,22968.75,13125
22.12.2022,ECA-40,RH02,D1-MG-885,1.79,3,8.6,9,635,1000,9775.19,27000,9887.748,1%,10000,15390.24,10000,197,300,36.43,100,22188,15394
22.12.2022,ECA-40,RH02,D1-MG-885,1.99,3,8.07,9,800,1000,12847.44,27000,13260,3%,10000,16056.51,10000,239,300,37.72,100,19537.47,16059.3
22.12.2022,ECA-40,RH02,D1-MG-885,1.89,3,8.03,9,800,1000,12141.36,27000,12557.44,3%,10000,15177.64,10000,224,300,36.43,100,19344.27,15176.7
22.12.2022,ECA-40,RH02,D1-MG-885,2,3,8.41,9,639,1000,10747.98,27000,10851.84,1%,10000,16826.6,10000,223,300,38.57,100,21218.43,16820
22.12.2022,ECA-40,RH02,D1-MG-885,2.01,3,8.29,9,651,1000,10847.5479,27000,10955.92,1%,10000,16657.47,10000,225,300,38.77,100,20617.23,16662.9
22.12.2022,ECA-40,RH02,D1-MG-885,1.93,3,8.2,9,800,1000,12660.8,27000,13097.91,3%,10000,15820.4,10000,232,300,37.14,100,20172,15826
22.12.2022,ECA-40,RH02,D1-MG-885,1.85,3,8.37,9,800,1000,12387.6,27000,12810.63,3%,10000,15493.38,10000,216,300,36.44,100,21017.07,15484.5
22.12.2022,ECA-40,RH02,D1-MG-885,1.84,3,8.1,9,800,1000,11923.2,27000,12345.85,3%,10000,14896.09,10000,233,300,35.7,100,19683,14904
22.12.2022,ECA-40,RH02,D1-MG-885,2,3,8.09,9,847,1000,13704.46,27000,14167.98,3%,10000,16170.8,10000,259,300,37.66,100,19634.43,16180
22.12.2022,ECA-40,RH02,D1-MG-885,1.73,3,8.67,9,652,1000,9779.4132,27000,9888.26,1%,10000,14998.75,10000,185,300,35.66,100,22550.67,14999.1
22.12.2022,ECA-40,RH02,D1-MG-885,1.56,3,8.65,9,721,1000,9729.174,27000,9837.145,1%,10000,13496.5,10000,174,300,33.48,100,22446.75,13494
22.12.2022,ECA-40,RH02,D1-MG-885,1.8,3,8.58,9,633,1000,9776.052,27000,9880.279,1%,10000,15441.12,10000,199,300,36.57,100,22084.92,15444
22.12.2022,ECA-40,RH02,D1-MG-885,2.01,3,8.04,9,800,1000,12928.32,27000,13307.34,3%,10000,16153.57,10000,237,300,37.82,100,19392.48,16160.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.87,3,8.07,9,800,1000,12072.72,27000,12464.09,3%,10000,15088.66,10000,227,300,36.19,100,19537.47,15090.9
22.12.2022,ECA-40,RH02,D1-MG-885,1.95,3,8.06,9,800,1000,12573.6,27000,12965.04,3%,10000,15711.74,10000,235,300,37.08,100,19489.08,15717
22.12.2022,ECA-40,RH02,D1-MG-885,1.92,3,8.05,9,800,1000,12364.8,27000,12735.49,3%,10000,15464.45,10000,226,300,36.53,100,19440.75,15456
22.12.2022,ECA-40,RH02,D1-MG-885,1.86,3,8.05,9,800,1000,11978.4,27000,12367.64,3%,10000,14978.95,10000,224,300,35.98,100,19440.75,14973
22.12.2022,ECA-40,RH02,D1-MG-885,1.91,3,8.1,9,800,1000,12376.8,27000,12793.09,3%,10000,15472.53,10000,231,300,37.03,100,19683,15471
22.12.2022,ECA-40,RH02,D1-MG-885,1.88,3,8.11,9,800,1000,12197.44,27000,12662.38,4%,10000,15255.64,10000,227,300,36.39,100,19731.63,15246.8
22.12.2022,ECA-40,RH02,D1-MG-885,2,3,8.07,9,838,1000,13525.32,27000,14021.16,4%,10000,16149.6,10000,256,300,38.02,100,19537.47,16140
22.12.2022,ECA-40,RH02,D1-MG-885,1.77,3,8.64,9,642,1000,9817.9776,27000,9893.55,1%,10000,15291.03,10000,193,300,36.12,100,22394.88,15292.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.54,3,8.95,9,705,1000,9717.015,27000,9820.003,1%,10000,13776.07,10000,168,300,34.23,100,24030.75,13783
22.12.2022,ECA-40,RH02,D1-MG-885,1.82,3,8.65,9,621,1000,9776.403,27000,9901.885,1%,10000,15735.54,10000,200,300,36.53,100,22446.75,15743
22.12.2022,ECA-40,RH02,D1-MG-885,2.01,3,8.04,9,800,1000,12928.32,27000,13340.1,3%,10000,16163.62,10000,246,300,37.9,100,19392.48,16160.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.89,3,8.02,9,800,1000,12126.24,27000,12567.45,4%,10000,15157.99,10000,227,300,36.71,100,19296.12,15157.8
22.12.2022,ECA-40,RH02,D1-MG-885,2.03,3,8.44,9,638,1000,10930.9816,27000,11024.95,1%,10000,17139.9,10000,224,300,39.22,100,21370.08,17133.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.97,3,8.07,9,800,1000,12718.32,27000,13140.63,3%,10000,15905.39,10000,239,300,37.85,100,19537.47,15897.9
22.12.2022,ECA-40,RH02,D1-MG-885,1.97,3,8.37,9,617,1000,10173.6513,27000,10273.88,1%,10000,16491.86,10000,219,300,37.92,100,21017.07,16488.9
22.12.2022,ECA-40,RH02,D1-MG-885,1.9,3,8.04,9,800,1000,12220.8,27000,12619.87,3%,10000,15280.18,10000,227,300,37.03,100,19392.48,15276
22.12.2022,ECA-40,RH02,D1-MG-885,1.96,3,8.48,9,800,1000,13296.64,27000,13745.54,3%,10000,16620.41,10000,228,300,38.46,100,21573.12,16620.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.92,3,8.07,9,800,1000,12395.52,27000,12847,4%,10000,15486.34,10000,237,300,37.18,100,19537.47,15494.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.75,3,8.76,9,635,1000,9734.55,27000,9833.839,1%,10000,15338.58,10000,189,300,36.18,100,23021.28,15330
22.12.2022,ECA-40,RH02,D1-MG-885,1.61,3,8.93,9,680,1000,9776.564,27000,9885.361,1%,10000,14374.24,10000,176,300,35.09,100,23923.47,14377.3
22.12.2022,ECA-40,RH02,D1-MG-885,1.82,3,8.61,9,627,1000,9825.2154,27000,9901.391,1%,10000,15669.29,10000,199,300,36.77,100,22239.63,15670.2
22.12.2022,ECA-40,RH02,D1-MG-885,2.08,3,8.08,9,800,1000,13445.12,27000,13861.99,3%,10000,16799.33,10000,247,300,38.97,100,19585.92,16806.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.98,3,8.27,9,630,1000,10315.998,27000,10427.37,1%,10000,16373.61,10000,221,300,38.03,100,20517.87,16374.6
22.12.2022,ECA-40,RH02,D1-MG-885,1.89,3,8.01,9,800,1000,12111.12,27000,12537.95,3%,10000,15139.66,10000,226,300,36.57,100,19248.03,15138.9
22.12.2022,ECA-40,RH02,D1-MG-885,1.91,3,8.05,9,800,1000,12300.4,27000,12721.53,3%,10000,15367.86,10000,226,300,36.83,100,19440.75,15375.5
22.12.2022,ECA-40,RH02,D1-MG-885,1.86,3,8.08,9,800,1000,12023.04,27000,12434.12,3%,10000,15020.99,10000,234,300,36.7,100,19585.92,15028.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.98,3,8.46,9,641,1000,10737.2628,27000,10860.24,1%,10000,16749.22,10000,223,300,38.83,100,21471.48,16750.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.97,3,8.46,9,641,1000,10683.0342,27000,10812.37,1%,10000,16666.2,10000,222,300,38.87,100,21471.48,16666.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.97,3,8.12,9,800,1000,12797.12,27000,13241.07,3%,10000,15996.79,10000,239,300,38.17,100,19780.32,15996.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.72,3,8.73,9,651,1000,9775.1556,27000,9871.021,1%,10000,15014.57,10000,185,300,36.05,100,22863.87,15015.6
22.12.2022,ECA-40,RH02,D1-MG-885,1.54,3,8.97,9,704,1000,9724.9152,27000,9838.565,1%,10000,13817.96,10000,167,300,34.06,100,24138.27,13813.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.8,3,8.64,9,630,1000,9797.76,27000,9887.986,1%,10000,15559.02,10000,197,300,36.59,100,22394.88,15552
22.12.2022,ECA-40,RH02,D1-MG-885,2.04,3,8.06,9,832,1000,13680.0768,27000,14146.04,3%,10000,16440.77,10000,258,300,38.48,100,19489.08,16442.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.94,3,8.06,9,800,1000,12509.12,27000,12902.08,3%,10000,15640.86,10000,231,300,37.08,100,19489.08,15636.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.91,3,8.02,9,800,1000,12254.56,27000,12661.59,3%,10000,15312.09,10000,230,300,36.62,100,19296.12,15318.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.97,3,8.03,9,800,1000,12655.28,27000,13073.9,3%,10000,15814.57,10000,236,300,37.21,100,19344.27,15819.1
22.12.2022,ECA-40,RH02,D1-MG-885,1.92,3,8.1,9,800,1000,12441.6,27000,12858.17,3%,10000,15545.28,10000,234,300,36.69,100,19683,15552
22.12.2022,ECA-40,RH02,D1-MG-885,1.91,3,8.07,9,800,1000,12330.96,27000,12787.22,4%,10000,15411.6,10000,235,300,36.62,100,19537.47,15413.7
22.12.2022,ECA-40,RH02,D1-MG-885,1.9,3,8.09,9,800,1000,12296.8,27000,12710.9,3%,10000,15362.26,10000,233,300,36.44,100,19634.43,15371
22.12.2022,ECA-40,RH02,D1-MG-885,2.08,3,8.08,9,858,1000,14419.8912,27000,14889.54,3%,10000,16813.68,10000,261,300,38.83,100,19585.92,16806.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.74,3,8.75,9,643,1000,9789.675,27000,9908.059,1%,10000,15228.31,10000,186,300,36.11,100,22968.75,15225
22.12.2022,ECA-40,RH02,D1-MG-885,1.66,3,9.55,9,560,1000,8877.68,27000,8971.176,1%,10000,15849.02,10000,164,300,36.71,100,27360.75,15853
22.12.2022,ECA-40,RH02,D1-MG-885,1.79,3,8.66,9,630,1000,9765.882,27000,9894.863,1%,10000,15505.88,10000,196,300,36.07,100,22498.68,15501.4
22.12.2022,ECA-40,RH02,D1-MG-885,2.05,3,8.11,9,806,1000,13400.153,27000,13867.87,3%,10000,16616.07,10000,250,300,38.33,100,19731.63,16625.5
22.12.2022,ECA-40,RH02,D1-MG-885,1.94,3,8.03,9,800,1000,12462.56,27000,12879.37,3%,10000,15574.51,10000,234,300,36.95,100,19344.27,15578.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.89,3,8.05,9,800,1000,12171.6,27000,12577.5,3%,10000,15217.71,10000,226,300,36.15,100,19440.75,15214.5
22.12.2022,ECA-40,RH02,D1-MG-885,1.97,3,8.09,9,800,1000,12749.84,27000,13150.35,3%,10000,15941.24,10000,236,300,37.25,100,19634.43,15937.3
22.12.2022,ECA-40,RH02,D1-MG-885,1.89,3,8.11,9,800,1000,12262.32,27000,12670.67,3%,10000,15325.63,10000,222,300,36.5,100,19731.63,15327.9
22.12.2022,ECA-40,RH02,D1-MG-885,1.85,3,8.03,9,800,1000,11884.4,27000,12327.52,4%,10000,14854.58,10000,221,300,35.66,100,19344.27,14855.5
22.12.2022,ECA-40,RH02,D1-MG-885,1.93,3,8.14,9,800,1000,12568.16,27000,13005.6,3%,10000,15712.71,10000,233,300,36.84,100,19877.88,15710.2
22.12.2022,ECA-40,RH02,D1-MG-885,2,3,8.04,9,800,1000,12864,27000,13299.22,3%,10000,16074.4,10000,255,300,37.64,100,19392.48,16080
22.12.2022,ECA-40,RH02,D1-MG-885,1.78,3,8.78,9,630,1000,9845.892,27000,9923.324,1%,10000,15624.13,10000,190,300,36.2,100,23126.52,15628.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.55,3,8.83,9,714,1000,9772.161,27000,9846.59,1%,10000,13681.08,10000,169,300,33.8,100,23390.67,13686.5
22.12.2022,ECA-40,RH02,D1-MG-885,1.82,3,8.62,9,623,1000,9773.8732,27000,9898.153,1%,10000,15688.76,10000,201,300,36.24,100,22291.32,15688.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.99,3,8.04,9,800,1000,12799.68,27000,13245.01,3%,10000,15993.43,10000,241,300,37.28,100,19392.48,15999.6
22.12.2022,ECA-40,RH02,D1-MG-885,2.02,3,8.34,9,663,1000,11169.4284,27000,11258.43,1%,10000,16846.4,10000,226,300,38.05,100,20866.68,16846.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.87,3,8.09,9,800,1000,12102.64,27000,12489.93,3%,10000,15128.49,10000,228,300,36.23,100,19634.43,15128.3
22.12.2022,ECA-40,RH02,D1-MG-885,1.97,3,8.11,9,800,1000,12781.36,27000,13239.77,3%,10000,15980.05,10000,241,300,37.44,100,19731.63,15976.7
22.12.2022,ECA-40,RH02,D1-MG-885,1.94,3,8.1,9,800,1000,12571.2,27000,13014.42,3%,10000,15722.92,10000,236,300,36.63,100,19683,15714
22.12.2022,ECA-40,RH02,D1-MG-885,1.94,3,8.25,9,800,1000,12804,27000,13218.11,3%,10000,16005,10000,229,300,37.24,100,20418.75,16005
22.12.2022,ECA-40,RH02,D1-MG-885,1.96,3,8.36,9,663,1000,10863.6528,27000,10993.03,1%,10000,16376,10000,226,300,37.5,100,20966.88,16385.6
22.12.2022,ECA-40,RH02,D1-MG-885,2.08,3,8.1,9,868,1000,14624.064,27000,15135.55,3%,10000,16856.53,10000,263,300,38.57,100,19683,16848
22.12.2022,ECA-40,RH02,D1-MG-885,1.74,3,8.63,9,648,1000,9730.4976,27000,9813.436,1%,10000,15022.12,10000,190,300,35.42,100,22343.07,15016.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.54,3,8.75,9,720,1000,9702,27000,9834.085,1%,10000,13468.84,10000,171,300,33.52,100,22968.75,13475
22.12.2022,ECA-40,RH02,D1-MG-885,1.81,3,8.6,9,628,1000,9775.448,27000,9902.19,1%,10000,15568.53,10000,199,300,36.23,100,22188,15566
22.12.2022,ECA-40,RH02,D1-MG-885,2.09,3,8.04,9,800,1000,13442.88,27000,13941.92,4%,10000,16803.39,10000,255,300,38.4,100,19392.48,16803.6
22.12.2022,ECA-40,RH02,D1-MG-885,1.91,3,8.07,9,800,1000,12330.96,27000,12728.7,3%,10000,15422.68,10000,226,300,36.33,100,19537.47,15413.7
22.12.2022,ECA-40,RH02,D1-MG-885,1.94,3,8.06,9,800,1000,12509.12,27000,12925.57,3%,10000,15645.32,10000,233,300,36.4,100,19489.08,15636.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.93,3,8.03,9,800,1000,12398.32,27000,12848.41,4%,10000,15499.64,10000,237,300,36.75,100,19344.27,15497.9
22.12.2022,ECA-40,RH02,D1-MG-885,1.94,3,8.08,9,800,1000,12540.16,27000,12992.19,3%,10000,15677.33,10000,236,300,36.75,100,19585.92,15675.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.9,3,8.09,9,800,1000,12296.8,27000,12705.62,3%,10000,15370.62,10000,230,300,36.4,100,19634.43,15371
22.12.2022,ECA-40,RH02,D1-MG-885,1.85,3,8.04,9,800,1000,11899.2,27000,12324.79,3%,10000,14877.51,10000,222,300,35.92,100,19392.48,14874
22.12.2022,ECA-40,RH02,D1-MG-885,2.03,3,8.09,9,858,1000,14090.6766,27000,14526.93,3%,10000,16412.96,10000,260,300,38,100,19634.43,16422.7
22.12.2022,ECA-40,RH02,D1-MG-885,1.76,3,8.72,9,639,1000,9806.8608,27000,9916.966,1%,10000,15341.39,10000,190,300,36.33,100,22811.52,15347.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.56,3,8.7,9,718,1000,9744.696,27000,9843.931,1%,10000,13574.81,10000,173,300,33.51,100,22707,13572
22.12.2022,ECA-40,RH02,D1-MG-885,1.73,3,8.65,9,649,1000,9711.9605,27000,9816.204,1%,10000,14958.27,10000,191,300,35.43,100,22446.75,14964.5
22.12.2022,ECA-40,RH02,D1-MG-885,2.05,3,8.01,9,800,1000,13136.4,27000,13562.74,3%,10000,16411.89,10000,245,300,37.95,100,19248.03,16420.5
22.12.2022,ECA-40,RH02,D1-MG-885,1.9,3,8.07,9,800,1000,12266.4,27000,12647.05,3%,10000,15334.52,10000,227,300,36.14,100,19537.47,15333
22.12.2022,ECA-40,RH02,D1-MG-885,1.9,3,8.09,9,800,1000,12296.8,27000,12713.88,3%,10000,15369.29,10000,226,300,36.27,100,19634.43,15371
22.12.2022,ECA-40,RH02,D1-MG-885,1.9,3,8.03,9,800,1000,12205.6,27000,12588.62,3%,10000,15252.63,10000,234,300,36.18,100,19344.27,15257
22.12.2022,ECA-40,RH02,D1-MG-885,1.85,3,8.2,9,800,1000,12136,27000,12494.37,3%,10000,15164.82,10000,218,300,36.06,100,20172,15170
22.12.2022,ECA-40,RH02,D1-MG-885,1.86,3,8.03,9,800,1000,11948.64,27000,12390.77,4%,10000,14930.41,10000,223,300,36.07,100,19344.27,14935.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.88,3,8.08,9,800,1000,12152.32,27000,12589.75,3%,10000,15199.61,10000,230,300,36.39,100,19585.92,15190.4
22.12.2022,ECA-40,RH02,D1-MG-885,2,3,8.12,9,800,1000,12992,27000,13420.86,3%,10000,16233.8,10000,250,300,37.77,100,19780.32,16240
22.12.2022,ECA-40,RH02,D1-MG-885,1.78,3,8.85,9,560,1000,8821.68,27000,8949.605,1%,10000,15758.87,10000,188,300,36.61,100,23496.75,15753
22.12.2022,ECA-40,RH02,D1-MG-885,1.6,3,8.98,9,682,1000,9798.976,27000,9881.305,1%,10000,14362.4,10000,173,300,34.6,100,24192.12,14368
22.12.2022,ECA-40,RH02,D1-MG-885,1.86,3,8.91,9,560,1000,9280.656,27000,9412.118,1%,10000,16575.76,10000,193,300,37.56,100,23816.43,16572.6
22.12.2022,ECA-40,RH02,D1-MG-885,2.04,3,8.12,9,800,1000,13251.84,27000,13688.59,3%,10000,16563.17,10000,247,300,38,100,19780.32,16564.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.87,3,8.04,9,800,1000,12027.84,27000,12402.79,3%,10000,15039.47,10000,223,300,35.93,100,19392.48,15034.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.94,3,8.06,9,800,1000,12509.12,27000,12964.96,4%,10000,15636.4,10000,235,300,36.86,100,19489.08,15636.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.88,3,8.04,9,800,1000,12092.16,27000,12507.85,3%,10000,15123.85,10000,229,300,36.19,100,19392.48,15115.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.94,3,8.04,9,800,1000,12478.08,27000,12894.92,3%,10000,15588.68,10000,237,300,36.89,100,19392.48,15597.6
22.12.2022,ECA-40,RH02,D1-MG-885,1.93,3,8.1,9,800,1000,12506.4,27000,12959.75,3%,10000,15637.44,10000,234,300,36.91,100,19683,15633
22.12.2022,ECA-40,RH02,D1-MG-885,1.89,3,8.09,9,800,1000,12232.08,27000,12669.66,3%,10000,15281.22,10000,230,300,36.39,100,19634.43,15290.1
22.12.2022,ECA-40,RH02,D1-MG-885,2.08,3,8.09,9,878,1000,14774.2816,27000,15303.25,3%,10000,16836.35,10000,266,300,39.02,100,19634.43,16827.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.79,3,8.93,9,560,1000,8951.432,27000,9061.435,1%,10000,15988.28,10000,183,300,37.52,100,23923.47,15984.7
22.12.2022,ECA-40,RH02,D1-MG-885,1.56,3,8.73,9,716,1000,9751.0608,27000,9836.077,1%,10000,13616.62,10000,172,300,34.02,100,22863.87,13618.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.72,3,8.65,9,657,1000,9774.846,27000,9873.985,1%,10000,14876.8,10000,186,300,35.47,100,22446.75,14878
22.12.2022,ECA-40,RH02,D1-MG-885,2.05,3,8.1,9,800,1000,13284,27000,13696.36,3%,10000,16607.87,10000,244,300,38.54,100,19683,16605
22.12.2022,ECA-40,RH02,D1-MG-885,1.91,3,8.08,9,800,1000,12346.24,27000,12762.27,3%,10000,15429.55,10000,230,300,36.76,100,19585.92,15432.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.93,3,8.06,9,800,1000,12444.64,27000,12859.9,3%,10000,15561.4,10000,232,300,37,100,19489.08,15555.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.94,3,8.05,9,800,1000,12493.6,27000,12944.61,3%,10000,15621.85,10000,235,300,37.15,100,19440.75,15617
22.12.2022,ECA-40,RH02,D1-MG-885,1.18,3,9.79,9,560,1000,6469.232,27000,6619.103,2%,10000,11548.78,10000,122,300,30.98,100,28753.23,11552.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.87,3,8.05,9,800,1000,12042.8,27000,12420.4,3%,10000,15057.8,10000,232,300,36.1,100,19440.75,15053.5
22.12.2022,ECA-40,RH02,D1-MG-885,1.85,3,8.03,9,800,1000,11884.4,27000,12309.05,3%,10000,14853.65,10000,221,300,36.62,100,19344.27,14855.5
22.12.2022,ECA-40,RH02,D1-MG-885,1.88,3,8.04,9,800,1000,12092.16,27000,12519.94,3%,10000,15110.88,10000,224,300,37.45,100,19392.48,15115.2
22.12.2022,ECA-40,RH02,D1-MG-885,2.03,3,8.06,9,800,1000,13089.44,27000,13539.39,3%,10000,16359.97,10000,246,300,38.79,100,19489.08,16361.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.71,3,8.66,9,660,1000,9773.676,27000,9868.261,1%,10000,14802.44,10000,184,300,35.51,100,22498.68,14808.6
22.12.2022,ECA-40,RH02,D1-MG-885,1.65,3,9.29,9,560,1000,8583.96,27000,8704.691,1%,10000,15331.8,10000,169,300,35.82,100,25891.23,15328.5
22.12.2022,ECA-40,RH02,D1-MG-885,1.8,3,8.66,9,627,1000,9773.676,27000,9904.266,1%,10000,15586.56,10000,198,300,36.7,100,22498.68,15588
22.12.2022,ECA-40,RH02,D1-MG-885,2.01,3,8.09,9,800,1000,13008.72,27000,13411.34,3%,10000,16257.68,10000,242,300,38.14,100,19634.43,16260.9
22.12.2022,ECA-40,RH02,D1-MG-885,1.9,3,8.05,9,800,1000,12236,27000,12646.04,3%,10000,15287.4,10000,228,300,36.68,100,19440.75,15295
22.12.2022,ECA-40,RH02,D1-MG-885,1.93,3,8.06,9,800,1000,12444.64,27000,12895.65,3%,10000,15550.01,10000,235,300,37.16,100,19489.08,15555.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.93,3,8.04,9,800,1000,12413.76,27000,12818.69,3%,10000,15525.11,10000,234,300,37.14,100,19392.48,15517.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.92,3,8.01,9,800,1000,12303.36,27000,12753.04,4%,10000,15380.54,10000,233,300,37.57,100,19248.03,15379.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.85,3,8.06,9,800,1000,11928.8,27000,12357.22,3%,10000,14902.3,10000,234,300,36.39,100,19489.08,14911
22.12.2022,ECA-40,RH02,D1-MG-885,1.94,3,8.15,9,800,1000,12648.8,27000,13088.8,3%,10000,15813.72,10000,234,300,37.92,100,19926.75,15811
22.12.2022,ECA-40,RH02,D1-MG-885,2.01,3,8.03,9,800,1000,12912.24,27000,13345.73,3%,10000,16143.72,10000,251,300,38.28,100,19344.27,16140.3
22.12.2022,ECA-40,RH02,D1-MG-885,1.81,3,8.85,9,560,1000,8970.36,27000,9071.717,1%,10000,16022.12,10000,188,300,37.53,100,23496.75,16018.5
22.12.2022,ECA-40,RH02,D1-MG-885,1.64,3,9.29,9,560,1000,8531.936,27000,8643.112,1%,10000,15239.54,10000,168,300,35.95,100,25891.23,15235.6
22.12.2022,ECA-40,RH02,D1-MG-885,1.71,3,8.65,9,655,1000,9688.4325,27000,9805.01,1%,10000,14798.17,10000,188,300,35.82,100,22446.75,14791.5
